id,nombre,provincia,poblacion,presupuesto,densidad_urbana,pib_per_capita,tasa_pobreza,tasa_analfabetismo,cobertura_agua,idh,densidad_poblacional,area_km2,municipio_id,num_contratos,monto_total,avg_monto_contrato,pct_licitacion_publica,pct_contratacion_directa,hhi_proveedores,num_proveedores_unicos,num_contratos_por_habitante,total_autoridades,autoridades_con_declaracion,pct_declaraciones,avg_dias_publicacion,num_auditorias,num_informes,pct_informes,total_recomendaciones,recomendaciones_cumplidas,pct_recomendaciones_cumplidas,num_sanciones,tiene_portal_transparencia,portal_score,formatos_abiertos,api_disponible,datos_actualizados,year
010001,Quito,Pichincha,2000000,1200000000,70.6,3225.0,26.0,5.0,84.5,0.753,451.5,4429.9,010001,143,10643874.01,74432.69,15.4,23.8,712.5,16,0.0715,8,6,75.0,115.3,4,3,75.0,27,21,77.8,0,True,66.1,52.9,True,True,2025
090001,Guayaquil,Guayas,2700000,900000000,48.5,6797.0,16.2,5.0,75.2,0.558,139.5,19358.0,090001,84,5887435.96,70088.52,17.9,21.4,719.95,16,0.0311,12,9,75.0,119.3,3,1,33.3,18,8,44.4,0,True,86.8,69.5,True,True,2025
030001,Cuenca,Azuay,640000,400000000,71.0,7904.0,23.8,8.3,87.4,0.552,412.6,1551.1,030001,140,8344069.61,59600.5,13.6,23.6,672.45,16,0.2188,7,5,71.4,81.6,2,1,50.0,17,13,76.5,1,True,70.5,56.4,True,True,2025
120001,Santo Domingo,Santo Domingo,460000,200000000,72.9,6062.0,21.2,11.6,68.5,0.578,93.5,4918.6,120001,89,7670101.22,86180.91,24.7,23.6,700.67,16,0.1935,12,8,66.7,67.6,4,3,75.0,32,19,59.4,1,True,70.5,56.4,True,True,2025
060001,Portoviejo,Manabí,320000,150000000,78.9,8434.0,47.3,9.6,76.4,0.842,220.3,1452.3,060001,33,2235011.33,67727.62,12.1,24.2,1000.92,14,0.1031,11,9,81.8,61.9,2,2,100.0,25,18,72.0,0,True,61.1,48.9,True,True,2025
120001,Machala,El Oro,280000,130000000,67.1,10465.0,39.7,10.8,78.1,0.761,70.6,3964.8,120001,89,7670101.22,86180.91,24.7,23.6,700.67,16,0.3179,12,8,66.7,67.6,4,3,75.0,32,19,59.4,1,True,59.4,47.5,False,True,2025
170001,Manta,Manabí,240000,120000000,54.1,5604.0,18.2,5.1,59.0,0.633,336.1,714.2,170001,100,6391574.27,63915.74,15.0,25.0,730.0,16,0.4167,11,9,81.8,87.9,3,3,100.0,36,22,61.1,1,True,58.5,46.8,False,True,2025
230001,Ambato,Tungurahua,180000,110000000,59.6,6332.0,23.4,5.4,92.5,0.744,324.1,555.4,230001,42,2527745.1,60184.41,21.4,14.3,861.68,15,0.2333,10,6,60.0,118.5,1,1,100.0,9,4,44.4,0,True,41.3,33.1,False,True,2025
110001,Riobamba,Chimborazo,170000,95000000,51.8,9562.0,21.5,6.4,94.6,0.742,300.6,565.5,110001,147,11057643.46,75222.06,17.0,19.0,657.6,16,0.8647,12,12,100.0,86.2,2,1,50.0,22,11,50.0,0,True,43.9,35.1,False,True,2025
040001,Loja,Loja,200000,90000000,72.4,10586.0,46.0,5.1,56.3,0.645,170.5,1173.1,040001,55,3175298.49,57732.7,14.5,27.3,776.86,16,0.275,13,10,76.9,100.0,3,3,100.0,26,11,42.3,2,False,27.8,22.2,False,False,2025
050001,Babahoyo,Los Ríos,105000,55000000,53.4,11486.0,50.1,5.8,81.2,0.669,461.5,227.5,050001,84,6906818.58,82224.03,23.8,29.8,742.63,16,0.8,7,6,85.7,94.8,1,1,100.0,0,0,0,0,True,44.7,35.7,False,True,2025
130001,Esmeraldas,Esmeraldas,155000,70000000,63.4,5384.0,24.9,8.1,65.5,0.725,454.0,341.4,130001,102,5803225.33,56894.37,11.8,26.5,770.86,16,0.6581,10,10,100.0,71.5,1,1,100.0,8,0,0.0,1,True,33.8,27.0,False,False,2025
100001,Ibarra,Imbabura,150000,65000000,61.0,4974.0,54.9,7.6,58.6,0.564,99.3,1509.9,100001,80,3556771.53,44459.64,8.8,32.5,743.75,16,0.5333,14,9,64.3,78.6,2,2,100.0,20,4,20.0,1,True,46.4,37.2,False,True,2025
180001,Latacunga,Cotopaxi,145000,60000000,70.1,10129.0,31.9,3.6,70.3,0.849,288.1,503.3,180001,122,7292118.07,59771.46,13.9,28.7,678.58,16,0.8414,13,9,69.2,83.2,4,4,100.0,47,33,70.2,0,True,41.3,33.0,False,True,2025
160001,Quevedo,Los Ríos,165000,70000000,83.8,10747.0,15.5,9.5,82.3,0.711,170.1,970.2,160001,110,7237943.97,65799.49,16.4,29.1,723.97,16,0.6667,14,10,71.4,100.4,1,0,0.0,0,0,0,0,True,37.1,29.7,False,False,2025
020001,Tulcán,Carchi,60000,35000000,70.6,4004.0,32.4,7.1,93.2,0.813,168.5,356.0,020001,75,4149649.23,55328.66,12.0,13.3,812.44,16,1.25,8,5,62.5,106.6,3,2,66.7,31,13,41.9,0,True,40.5,32.4,False,True,2025
