municipio_id_origen,municipio_nombre_origen,municipio_id_similar,municipio_nombre_similar,distancia,ranking_similaridad
010001,Quito,090001,Guayaquil,1.0562,1
010001,Quito,030001,Cuenca,1.2048,2
010001,Quito,130001,Esmeraldas,1.2135,3
010001,Quito,120001,Santo Domingo,1.2237,4
010001,Quito,230001,Ambato,1.2273,5
090001,Guayaquil,010001,Quito,1.0562,1
090001,Guayaquil,030001,Cuenca,1.0749,2
090001,Guayaquil,170001,Manta,1.1699,3
090001,Guayaquil,120001,Santo Domingo,1.2101,4
090001,Guayaquil,090150,Samborondón,1.2735,5
030001,Cuenca,120001,Santo Domingo,0.3035,1
030001,Cuenca,210001,Zamora,0.4792,2
030001,Cuenca,090050,Daule,0.6145,3
030001,Cuenca,060470,Jipijapa,0.6151,4
030001,Cuenca,170001,Manta,0.6579,5
120001,Santo Domingo,030001,Cuenca,0.3035,1
120001,Santo Domingo,060470,Jipijapa,0.4047,2
120001,Santo Domingo,210001,Zamora,0.4187,3
120001,Santo Domingo,110250,Alausí,0.4406,4
120001,Santo Domingo,220001,Macas,0.4637,5
060001,Portoviejo,180230,Pujilí,0.3404,1
060001,Portoviejo,170230,Pelileo,0.3745,2
060001,Portoviejo,040350,Saraguro,0.4465,3
060001,Portoviejo,060170,Chone,0.49,4
060001,Portoviejo,110170,Guano,0.4988,5
120001,Machala,180001,Latacunga,0.373,1
120001,Machala,060170,Chone,0.3918,2
120001,Machala,020170,Espejo,0.4241,3
120001,Machala,040001,Loja,0.4439,4
120001,Machala,040350,Saraguro,0.46,5
170001,Manta,090150,Samborondón,0.2842,1
170001,Manta,240001,Francisco de Orellana,0.3148,2
170001,Manta,090050,Daule,0.3795,3
170001,Manta,230001,Ambato,0.4279,4
170001,Manta,130001,Esmeraldas,0.43,5
230001,Ambato,130001,Esmeraldas,0.1684,1
230001,Ambato,090050,Daule,0.2436,2
230001,Ambato,040170,Catamayo,0.3125,3
230001,Ambato,090150,Samborondón,0.3624,4
230001,Ambato,010230,Mejía,0.4182,5
110001,Riobamba,040170,Catamayo,0.3586,1
110001,Riobamba,090150,Samborondón,0.37,2
110001,Riobamba,230001,Ambato,0.4272,3
110001,Riobamba,030170,Girón,0.487,4
110001,Riobamba,090050,Daule,0.4886,5
040001,Loja,170450,Baños,0.2277,1
040001,Loja,020170,Espejo,0.262,2
040001,Loja,020230,Bolívar,0.2904,3
040001,Loja,120001,Machala,0.4439,4
040001,Loja,050001,Babahoyo,0.5219,5
050001,Babahoyo,190001,Puyo,0.3954,1
050001,Babahoyo,100350,Cotacachi,0.4762,2
050001,Babahoyo,020170,Espejo,0.483,3
050001,Babahoyo,170450,Baños,0.4884,4
050001,Babahoyo,040001,Loja,0.5219,5
130001,Esmeraldas,230001,Ambato,0.1684,1
130001,Esmeraldas,090050,Daule,0.2187,2
130001,Esmeraldas,030100,Gualaceo,0.3031,3
130001,Esmeraldas,220001,Macas,0.3358,4
130001,Esmeraldas,010230,Mejía,0.4073,5
100001,Ibarra,250001,Aguarico,0.3271,1
100001,Ibarra,060680,Sucre,0.4573,2
100001,Ibarra,140001,Nueva Loja,0.6138,3
100001,Ibarra,160170,Buena Fe,0.6596,4
100001,Ibarra,060470,Jipijapa,0.7448,5
180001,Latacunga,060170,Chone,0.1952,1
180001,Latacunga,040350,Saraguro,0.3059,2
180001,Latacunga,100170,Otavalo,0.3187,3
180001,Latacunga,120001,Machala,0.373,4
180001,Latacunga,030170,Girón,0.3826,5
160001,Quevedo,180350,Salcedo,0.4351,1
160001,Quevedo,100170,Otavalo,0.4435,2
160001,Quevedo,040350,Saraguro,0.681,3
160001,Quevedo,180001,Latacunga,0.7187,4
160001,Quevedo,210001,Zamora,0.7364,5
020001,Tulcán,110170,Guano,0.2403,1
020001,Tulcán,200001,Tena,0.3422,2
020001,Tulcán,030100,Gualaceo,0.374,3
020001,Tulcán,130001,Esmeraldas,0.4301,4
020001,Tulcán,180230,Pujilí,0.4404,5
140001,Nueva Loja,010170,Cayambe,0.3334,1
140001,Nueva Loja,090110,Milagro,0.3377,2
140001,Nueva Loja,160170,Buena Fe,0.358,3
140001,Nueva Loja,250001,Aguarico,0.4304,4
140001,Nueva Loja,110170,Guano,0.4496,5
150001,Santa Elena,100350,Cotacachi,0.263,1
150001,Santa Elena,190001,Puyo,0.4133,2
150001,Santa Elena,020170,Espejo,0.521,3
150001,Santa Elena,210001,Zamora,0.5353,4
150001,Santa Elena,050001,Babahoyo,0.5604,5
190001,Puyo,050001,Babahoyo,0.3954,1
