municipio_id,nombre,provincia,poblacion,presupuesto,year,indice_transparencia,sub_apertura_score,sub_apertura_portal,sub_apertura_formatos,sub_apertura_api,sub_apertura_actualizado,sub_compras_score,sub_compras_licitacion,sub_compras_directa,sub_compras_hhi,sub_rendicion_score,sub_rendicion_informes,sub_rendicion_recomendaciones,sub_rendicion_sanciones,sub_declaraciones_score,sub_declaraciones_pct,sub_declaraciones_tiempo,num_contratos,monto_total_contratos,pct_licitacion_publica,pct_contratacion_directa,hhi_proveedores,num_proveedores_unicos,pct_declaraciones,pct_informes_auditoria,num_sanciones,peso_apertura,peso_compras,peso_rendicion,peso_declaraciones,ranking
060001,Portoviejo,Manabí,320000,150000000,2025,75.4,87.2,30,12.2,25,20,54.6,4.8,22.7,27.0,88.8,40.0,28.8,20,75.3,49.1,26.2,33,2235011.33,12.1,24.2,1000.92,14,81.8,100.0,0,0.3,0.3,0.2,0.2,1
120001,Santo Domingo,Santo Domingo,460000,200000000,2025,71.7,89.1,30,14.1,25,20,60.7,9.9,22.9,27.9,68.8,30.0,23.8,15,65.0,40.0,25.0,89,7670101.22,24.7,23.6,700.67,16,66.7,75.0,1,0.3,0.3,0.2,0.2,2
160170,Buena Fe,Los Ríos,35000,15000000,2025,71.7,59.1,30,9.1,0,20,61.5,8.0,27.0,26.5,100.0,40.0,40.0,20,77.8,51.4,26.3,30,2110257.09,20.0,10.0,1177.78,11,85.7,100.0,0,0.3,0.3,0.2,0.2,3
010001,Quito,Pichincha,2000000,1200000000,2025,71.6,88.2,30,13.2,25,20,56.9,6.2,22.9,27.9,81.1,30.0,31.1,20,59.4,45.0,14.4,143,10643874.01,15.4,23.8,712.5,16,75.0,75.0,0,0.3,0.3,0.2,0.2,4
030001,Cuenca,Azuay,640000,400000000,2025,69.7,89.1,30,14.1,25,20,56.3,5.4,22.9,28.0,65.6,20.0,30.6,15,64.7,42.8,21.9,140,8344069.61,13.6,23.6,672.45,16,71.4,50.0,1,0.3,0.3,0.2,0.2,5
090001,Guayaquil,Guayas,2700000,900000000,2025,67.2,92.4,30,17.4,25,20,58.6,7.2,23.6,27.8,51.1,13.3,17.8,20,58.5,45.0,13.5,84,5887435.96,17.9,21.4,719.95,16,75.0,33.3,0,0.3,0.3,0.2,0.2,6
200001,Tena,Napo,40000,28000000,2025,66.4,58.1,30,8.1,0,20,55.2,5.1,22.4,27.8,96.0,40.0,36.0,20,66.2,45.0,21.2,134,8085852.77,12.7,25.4,737.36,16,75.0,100.0,0,0.3,0.3,0.2,0.2,7
170001,Manta,Manabí,240000,120000000,2025,65.2,61.7,30,11.7,0,20,56.3,6.0,22.5,27.8,79.4,40.0,24.4,15,69.5,49.1,20.5,100,6391574.27,15.0,25.0,730.0,16,81.8,100.0,1,0.3,0.3,0.2,0.2,8
180001,Latacunga,Cotopaxi,145000,60000000,2025,64.2,58.2,30,8.2,0,20,54.9,5.6,21.4,28.0,88.1,40.0,28.1,20,63.0,41.5,21.5,122,7292118.07,13.9,28.7,678.58,16,69.2,100.0,0,0.3,0.3,0.2,0.2,9
220001,Macas,Morona Santiago,25000,20000000,2025,64.1,59.2,30,9.2,0,20,58.3,7.7,22.7,27.9,69.8,26.7,23.1,20,74.6,51.4,23.2,120,10768035.01,19.2,24.2,690.28,16,85.7,66.7,0,0.3,0.3,0.2,0.2,10
120001,Machala,El Oro,280000,130000000,2025,63.5,61.9,30,11.9,0,20,60.7,9.9,22.9,27.9,68.8,30.0,23.8,15,65.0,40.0,25.0,89,7670101.22,24.7,23.6,700.67,16,66.7,75.0,1,0.3,0.3,0.2,0.2,11
110001,Riobamba,Chimborazo,170000,95000000,2025,63.5,58.8,30,8.8,0,20,59.1,6.8,24.3,28.0,60.0,20.0,20.0,20,80.8,60.0,20.8,147,11057643.46,17.0,19.0,657.6,16,100.0,50.0,0,0.3,0.3,0.2,0.2,12
040350,Saraguro,Loja,10000,6000000,2025,63.4,58.2,30,8.2,0,20,55.7,5.7,21.9,28.0,70.6,40.0,15.6,15,75.5,45.0,30.5,126,9382332.26,14.3,27.0,651.3,16,75.0,100.0,1,0.3,0.3,0.2,0.2,13
230001,Ambato,Tungurahua,180000,110000000,2025,61.5,58.3,30,8.3,0,20,61.7,8.6,25.7,27.4,77.8,40.0,17.8,20,49.7,36.0,13.7,42,2527745.1,21.4,14.3,861.68,15,60.0,100.0,0,0.3,0.3,0.2,0.2,14
050001,Babahoyo,Los Ríos,105000,55000000,2025,61.3,58.9,30,8.9,0,20,58.4,9.5,21.1,27.8,60.0,40.0,0.0,20,70.4,51.4,18.9,84,6906818.58,23.8,29.8,742.63,16,85.7,100.0,0,0.3,0.3,0.2,0.2,15
120350,La Concordia,Santo Domingo,45000,25000000,2025,61.3,59.0,30,9.0,0,20,59.8,8.2,23.9,27.8,67.2,40.0,17.2,10,61.2,45.0,16.2,73,5142185.72,20.5,20.5,748.73,16,75.0,100.0,2,0.3,0.3,0.2,0.2,16
010230,Mejía,Pichincha,85000,40000000,2025,59.6,59.0,30,9.0,0,20,57.3,6.9,22.4,28.0,72.2,40.0,17.2,15,51.5,34.3,17.2,99,6667985.69,17.2,25.3,672.38,16,57.1,100.0,1,0.3,0.3,0.2,0.2,17
030100,Gualaceo,Azuay,45000,20000000,2025,58.7,58.8,30,8.8,0,20,54.9,3.2,24.0,27.7,50.0,40.0,0.0,10,73.1,46.7,26.4,50,2680100.6,8.0,20.0,760.0,14,77.8,100.0,2,0.3,0.3,0.2,0.2,18
020001,Tulcán,Carchi,60000,35000000,2025,58.4,58.1,30,8.1,0,20,58.4,4.8,26.0,27.6,63.4,26.7,16.8,20,53.8,37.5,16.3,75,4149649.23,12.0,13.3,812.44,16,62.5,66.7,0,0.3,0.3,0.2,0.2,19
190001,Puyo,Pastaza,40000,30000000,2025,58.4,36.7,30,6.7,0,0,53.9,4.0,22.0,28.0,90.8,40.0,35.8,15,65.2,42.0,23.2,120,6189255.37,10.0,26.7,683.33,16,70.0,100.0,1,0.3,0.3,0.2,0.2,20
090110,Milagro,Guayas,170000,65000000,2025,58.3,58.5,30,8.4,0,20,62.0,10.5,23.8,27.7,50.7,20.0,10.7,20,60.0,48.0,12.0,107,10515076.67,26.2,20.6,760.77,16,80.0,50.0,0,0.3,0.3,0.2,0.2,21
100001,Ibarra,Imbabura,150000,65000000,2025,58.1,59.3,30,9.3,0,20,51.5,3.5,20.2,27.8,63.0,40.0,8.0,15,61.1,38.6,22.5,80,3556771.53,8.8,32.5,743.75,16,64.3,100.0,1,0.3,0.3,0.2,0.2,22
130350,Atacames,Esmeraldas,40000,18000000,2025,57.6,59.1,30,9.2,0,20,56.2,5.2,23.0,28.0,45.8,10.0,15.8,20,69.4,54.0,15.4,146,10014263.26,13.0,23.3,674.61,16,90.0,25.0,0,0.3,0.3,0.2,0.2,23
010450,Rumiñahui,Pichincha,100000,55000000,2025,56.7,36.0,30,6.0,0,0,53.5,5.0,20.6,27.8,81.7,40.0,26.7,15,67.5,41.5,26.0,64,4043604.52,12.5,31.2,722.66,16,69.2,100.0,1,0.3,0.3,0.2,0.2,24
060470,Jipijapa,Manabí,65000,25000000,2025,56.5,58.4,30,8.4,0,20,55.2,6.5,20.9,27.8,51.7,20.0,16.7,15,60.3,46.1,14.1,99,7619653.64,16.2,30.3,723.4,16,76.9,50.0,1,0.3,0.3,0.2,0.2,25
130001,Esmeraldas,Esmeraldas,155000,70000000,2025,55.2,36.8,30,6.8,0,0,54.5,4.7,22.1,27.7,55.0,40.0,0.0,15,84.1,60.0,24.1,102,5803225.33,11.8,26.5,770.86,16,100.0,100.0,1,0.3,0.3,0.2,0.2,26
180230,Pujilí,Cotopaxi,35000,15000000,2025,55.1,37.8,30,7.8,0,0,56.2,5.0,23.4,27.9,69.2,40.0,9.2,20,65.1,42.0,23.1,113,6432615.19,12.4,22.1,715.01,16,70.0,100.0,0,0.3,0.3,0.2,0.2,27
240001,Francisco de Orellana,Orellana,45000,30000000,2025,53.3,37.7,30,7.7,0,0,59.8,7.1,24.7,28.0,50.3,30.0,15.3,5,70.0,47.2,22.9,118,8675426.49,17.8,17.8,675.09,16,78.6,75.0,3,0.3,0.3,0.2,0.2,28
030170,Girón,Azuay,15000,10000000,2025,53.2,4.4,0,4.4,0,0,56.4,7.0,21.6,27.8,93.3,40.0,33.3,20,81.4,51.4,30.0,68,4624240.54,17.6,27.9,748.27,16,85.7,100.0,0,0.3,0.3,0.2,0.2,29
110170,Guano,Chimborazo,45000,18000000,2025,53.2,37.7,30,7.7,0,0,52.8,4.4,20.4,27.9,61.8,20.0,21.8,20,68.4,37.5,30.9,135,6820216.03,11.1,31.9,687.52,16,62.5,50.0,0,0.3,0.3,0.2,0.2,30
020170,Espejo,Carchi,15000,8000000,2025,52.7,37.4,30,7.3,0,0,60.2,7.2,25.1,28.0,60.0,40.0,0.0,20,57.3,36.0,21.3,139,10320678.04,18.0,16.5,678.54,16,60.0,100.0,0,0.3,0.3,0.2,0.2,31
150001,Santa Elena,Santa Elena,145000,55000000,2025,52.1,37.1,30,7.2,0,0,52.7,4.9,20.3,27.5,60.0,40.0,0.0,20,66.0,48.0,18.0,65,3339722.8,12.3,32.3,840.24,15,80.0,100.0,0,0.3,0.3,0.2,0.2,32
090050,Daule,Guayas,130000,50000000,2025,51.5,36.7,30,6.7,0,0,55.7,5.4,22.4,27.8,73.3,40.0,13.3,20,45.5,30.0,15.5,59,3525526.26,13.6,25.4,721.06,16,50.0,100.0,0,0.3,0.3,0.2,0.2,33
100350,Cotacachi,Imbabura,40000,18000000,2025,51.5,3.5,0,3.5,0,0,58.6,7.1,23.7,27.8,90.0,40.0,30.0,20,74.3,46.7,27.6,124,8438078.52,17.7,21.0,733.61,16,77.8,100.0,0,0.3,0.3,0.2,0.2,34
